19/05/2025     LISTADO TESTIGO PERSONAL SIN PRESENTISMO      P g.


          Nro Control    Planta        Mes        Anio
          45001182          P          05          25
          46137535          P          05          25
          47058304          P          05          25
          47058354          P          05          25
          47058362          P          05          25
          47058451          P          05          25
          47058553          P          05          25
          47139045          P          05          25
          47140782          P          05          25
          47140981          P          05          25
          47146885          P          05          25
          47148484          P          05          25
          48005165          P          05          25
          48005233          P          05          25
          50006161          P          05          25
          51002031          P          05          25
          51003812          P          05          25
          51005505          P          05          25
          51013634          P          05          25
          51013841          P          05          25
          51014541          P          05          25
          51016035          P          05          25
          51016433          P          05          25
          51016535          P          05          25
          52006132          P          05          25
          52006933          P          05          25
          52007183          P          05          25
          52011912          P          05          25
          52012811          P          05          25
          64002015          P          05          25
          64002604          P          05          25
          64004965          P          05          25
          64005644          P          05          25
          64005665          P          05          25
          64005775          P          05          25
          64005872          P          05          25
          64006153          P          05          25
          64006535          P          05          25
          64006734          P          05          25
          64007031          P          05          25
          64007141          P          05          25
          64008061          P          05          25
          64011221          P          05          25
          64124215          P          05          25
          64137653          P          05          25
          66003341          P          05          25
          66007735          P          05          25
          66007861          P          05          25
          66011514          P          05          25
          66012811          P          05          25
          66014622          P          05          25
          66015123          P          05          25
          67003215          P          05          25
          67003545          P          05          25
          67003833          P          05          25
          67003854          P          05          25
          68002293          P          05          25
          68002492          P          05          25
          68003692          P          05          25
          68005592          P          05          25
          68005791          P          05          25
          68006585          P          05          25
          69071991          P          05          25
          70105931          P          05          25
          70222903          P          05          25
          70293302          P          05          25
          73000681          P          05          25
          73000911          P          05          25
          73003273          P          05          25
          73003582          P          05          25
          73004614          P          05          25
          73004761          P          05          25
          73005783          P          05          25
          73006051          P          05          25
          73006441          P          05          25
          73007992          P          05          25
          73008032          P          05          25
          73008074          P          05          25
          73008341          P          05          25
          73008354          P          05          25
          73008464          P          05          25
          73008485          P          05          25
          73008773          P          05          25
          73096514          P          05          25
          73121275          P          05          25
          73122975          P          05          25
          73156534          P          05          25
          73198793          P          05          25
          73198803          P          05          25
          73205341          P          05          25
          74025924          P          05          25
          74028304          P          05          25
          74028692          P          05          25
          74029554          P          05          25
          74030681          P          05          25
          75068011          P          05          25
          75123434          P          05          25
          75123691          P          05          25
          75178112          P          05          25
          75197881          P          05          25
          75198641          P          05          25
          75214573          P          05          25
          75216122          P          05          25
          75220891          P          05          25
          75223705          P          05          25
          75225804          P          05          25
          75230192          P          05          25
          75230595          P          05          25
          75232233          P          05          25
          75233182          P          05          25
          75242665          P          05          25
          75243263          P          05          25
          75245464          P          05          25
          75245993          P          05          25
          75246274          P          05          25
          75246363          P          05          25
          75258195          P          05          25
          75258894          P          05          25
          75263873          P          05          25
          75281384          P          05          25
          75282932          P          05          25
          75288263          P          05          25
          75298514          P          05          25
          75298802          P          05          25
          75299793          P          05          25
          75300701          P          05          25
          75301312          P          05          25
          75302295          P          05          25
          75303092          P          05          25
          75305293          P          05          25
          75305395          P          05          25
          75305992          P          05          25
          76110203          P          05          25
          76170012          P          05          25
          76176034          P          05          25
          76183183          P          05          25
          76184281          P          05          25
          76184532          P          05          25
          76185282          P          05          25
          76191783          P          05          25
          76215545          P          05          25
          76216012          P          05          25
          76220273          P          05          25
          76221512          P          05          25
          76242194          P          05          25
          76243205          P          05          25
          76247924          P          05          25
          76248823          P          05          25
          76249214          P          05          25
          76255744          P          05          25
          76256342          P          05          25
          76294382          P          05          25
          77012913          P          05          25
          77058715          P          05          25
          77074583          P          05          25
          77078155          P          05          25
          77105245          P          05          25
          77108345          P          05          25
          77126754          P          05          25
          77181592          P          05          25
          77182941          P          05          25
          77193641          P          05          25
          77194121          P          05          25
          77194265          P          05          25
          77194825          P          05          25
          77194943          P          05          25
          77195711          P          05          25
          77197865          P          05          25
          77197912          P          05          25
          77198722          P          05          25
          77198845          P          05          25
