18/07/2024     LISTADO TESTIGO PERSONAL SIN PRESENTISMO      P g.


          Nro Control    Planta        Mes        Anio
          15023464          P          07          24
          77075225          P          07          24
          75303893          P          07          24
          23074855          P          07          24
          86000631          P          07          24
          23071763          C          07          24
          77337114          C          07          24
          77321105          C          07          24
          15020801          P          07          24
          76186725          P          07          24
          76216012          P          07          24
          76249625          P          07          24
          77318791          C          07          24
          23054054          P          07          24
          77264044          P          07          24
          77290901          P          07          24
          15018032          P          07          24
          99097073          P          07          24
          77321524          C          07          24
          15022971          P          07          24
          71008692          C          07          24
          77292681          C          07          24
          15014994          P          07          24
          99152001          P          07          24
          77238771          P          07          24
          15032942          P          07          24
          15013095          P          07          24
          69061381          C          07          24
          71009805          P          07          24
          77316414          C          07          24
          69077984          C          07          24
          77108332          P          07          24
          77231805          P          07          24
          99055932          P          07          24
          15901214          C          07          24
          77283491          P          07          24
          15030534          P          07          24
          99152022          P          07          24
          66014114          P          07          24
          77318555          P          07          24
          99157585          C          07          24
          77284303          P          07          24
          99096404          P          07          24
          86002502          P          07          24
          99097044          P          07          24
          66013634          P          07          24
          71016695          C          07          24
          73012675          C          07          24
          77318013          C          07          24
          71077942          C          07          24
          15032413          P          07          24
          49009591          P          07          24
          86002434          P          07          24
          77293535          P          07          24
          23070181          P          07          24
          77318924          C          07          24
          73006831          P          07          24
          86002772          C          07          24
          73013105          C          07          24
          77327185          P          07          24
          15901722          C          07          24
          66015592          P          07          24
          15026145          P          07          24
          23065822          P          07          24
          23068781          P          07          24
          86002714          C          07          24
          15036271          C          07          24
          15021624          P          07          24
          15901324          C          07          24
          52006844          C          07          24
          52006132          P          07          24
          15028744          P          07          24
          15021661          P          07          24
          15028451          P          07          24
          77329695          C          07          24
          52008901          P          07          24
          77323123          C          07          24
          77198565          P          07          24
          52006043          P          07          24
          77218425          P          07          24
          52011302          P          07          24
          37027793          C          07          24
          77236334          P          07          24
          77198832          P          07          24
          77264285          P          07          24
          73005542          P          07          24
          73198272          P          07          24
          73002861          P          07          24
          73009672          C          07          24
          73005911          P          07          24
          73205265          P          07          24
          73001454          P          07          24
          77214552          P          07          24
          64013702          P          07          24
          75239081          P          07          24
          77240312          P          07          24
          77286834          P          07          24
          77327504          C          07          24
          77297225          P          07          24
          77108222          P          07          24
          77317732          C          07          24
          77325285          C          07          24
          77316134          C          07          24
          75281164          P          07          24
          77286151          P          07          24
          77108395          P          07          24
          77331095          C          07          24
          77268815          P          07          24
          77291473          C          07          24
          77283132          P          07          24
          77332915          C          07          24
          77220095          P          07          24
          77321621          C          07          24
          77239882          P          07          24
          77323393          C          07          24
          77322944          C          07          24
          77325581          C          07          24
          77317355          C          07          24
          77329501          C          07          24
          77281091          P          07          24
          05200163          C          07          24
          47149184          C          07          24
          77291591          P          07          24
          77233085          P          07          24
          77239581          P          07          24
          88005385          C          07          24
          77318783          C          07          24
          37007214          P          07          24
          77274581          P          07          24
          77322083          C          07          24
          30000762          P          07          24
          77239683          P          07          24
          37001514          P          07          24
          77269154          P          07          24
          77214434          P          07          24
          77245833          P          07          24
          77250011          P          07          24
          47058354          P          07          24
          77281402          P          07          24
          77319323          C          07          24
          77244803          P          07          24
          77292505          P          07          24
          77326891          C          07          24
          77292123          P          07          24
          77323681          C          07          24
          77319491          C          07          24
          77316883          C          07          24
          77223292          P          07          24
          77332305          C          07          24
          77296494          P          07          24
          77290202          P          07          24
          77320895          C          07          24
          77246533          P          07          24
          77263043          P          07          24
          77239785          P          07          24
          77319975          C          07          24
          77223394          P          07          24
          77272194          P          07          24
          77316794          C          07          24
          77331692          C          07          24
          77279874          P          07          24
          77324412          C          07          24
          77013215          P          07          24
          77289803          P          07          24
          77245613          P          07          24
          30000822          P          07          24
          47139045          P          07          24
          66014041          C          07          24
          66011483          P          07          24
          66012104          P          07          24
          91006983          C          07          24
          77293572          C          07          24
          77197695          P          07          24
          77243014          C          07          24
          77009774          P          07          24
          77288564          P          07          24
          77191034          P          07          24
          77219421          P          07          24
          91006873          P          07          24
          77270825          P          07          24
          91006742          P          07          24
          76221512          P          07          24
          77084143          P          07          24
          77193625          P          07          24
          09002285          P          07          24
          09000212          C          07          24
          09000322          C          07          24
          77317685          C          07          24
          91006331          P          07          24
          09003621          P          07          24
          09003812          C          07          24
          37012604          C          07          24
          09000712          C          07          24
          37015704          C          07          24
          09000822          C          07          24
          37001755          P          07          24
          84042104          P          07          24
          09004004          P          07          24
          02003304          P          07          24
          37008804          P          07          24
          09002104          P          07          24
          37017594          P          07          24
          37006543          P          07          24
          84038901          P          07          24
          02010704          P          07          24
          37006941          P          07          24
          37010102          C          07          24
          77243103          P          07          24
          37012803          C          07          24
          37016603          P          07          24
          37003634          P          07          24
          77236591          P          07          24
          85005021          C          07          24
          85001593          P          07          24
          73193044          P          07          24
          76265781          C          07          24
          76226761          C          07          24
          73011103          P          07          24
          81147213          P          07          24
          73006844          P          07          24
          73005322          P          07          24
          73005602          P          07          24
          76228954          C          07          24
          73005123          P          07          24
          73012743          C          07          24
          81147661          P          07          24
          81147111          P          07          24
          73000924          P          07          24
          81147501          P          07          24
          74003294          P          07          24
          66007565          P          07          24
          06000704          P          07          24
          16004672          P          07          24
          88006315          C          07          24
          73006441          P          07          24
          88006213          C          07          24
          88006433          C          07          24
          73011991          C          07          24
          73008825          P          07          24
          73006522          P          07          24
          73010521          C          07          24
          88006912          C          07          24
          88006124          C          07          24
          01019211          P          07          24
          07026831          C          07          24
          73009504          C          07          24
          73012633          C          07          24
          73005225          P          07          24
          73012785          C          07          24
          73012654          C          07          24
          73006425          P          07          24
          73004761          P          07          24
          74028304          P          07          24
          05001043          P          07          24
          82012421          C          07          24
          82012675          C          07          24
          66011344          C          07          24
          77206321          P          07          24
          37006331          P          07          24
          37008621          P          07          24
          37010893          P          07          24
          37013105          C          07          24
          37014994          P          07          24
          84036093          P          07          24
          84036292          P          07          24
          84036394          P          07          24
          02012502          C          07          24
          84035791          P          07          24
          84041302          P          07          24
          77283064          P          07          24
          84034402          P          07          24
          37016991          P          07          24
          37016412          C          07          24
          37013003          C          07          24
          02012604          C          07          24
          47138214          P          07          24
          47058362          P          07          24
          37009091          P          07          24
          37002921          P          07          24
          37017311          C          07          24
          37009305          C          07          24
          37005924          P          07          24
          77320691          C          07          24
          84039305          P          07          24
          02010801          P          07          24
          77296614          P          07          24
          52012811          P          07          24
          02013503          C          07          24
          37008184          C          07          24
          02004745          P          07          24
          37016315          C          07          24
          84040005          P          07          24
          37007544          C          07          24
          47150083          C          07          24
          84040403          P          07          24
          37011491          P          07          24
          77317643          C          07          24
          37009295          P          07          24
          47058553          P          07          24
          47148484          P          07          24
          37006271          C          07          24
          37004732          P          07          24
          47058582          P          07          24
          52014151          P          07          24
          02011205          P          07          24
          84038891          P          07          24
          77293381          P          07          24
          37010704          C          07          24
          84035995          P          07          24
          37017492          P          07          24
          37012191          P          07          24
          77232851          P          07          24
          73008003          P          07          24
          77098375          P          07          24
          76263983          C          07          24
          77181571          P          07          24
          77191592          P          07          24
          77288501          P          07          24
          76248611          P          07          24
          77181084          P          07          24
          77330285          C          07          24
          52011713          P          07          24
          77272181          P          07          24
          37006975          C          07          24
          66007832          P          07          24
          77339802          C          07          24
          77198722          P          07          24
          48005233          P          07          24
          75304093          P          07          24
          48005165          P          07          24
          48005733          P          07          24
          66013532          P          07          24
          66003341          P          07          24
          77228831          P          07          24
          77319242          C          07          24
          77206415          P          07          24
          64128311          C          07          24
          64002604          P          07          24
          64004135          P          07          24
          64008142          P          07          24
          64005084          C          07          24
          64002015          P          07          24
          64006535          P          07          24
          64007031          P          07          24
          64004761          P          07          24
          64004965          P          07          24
          64009944          C          07          24
          64007751          P          07          24
          64005775          P          07          24
          64010225          C          07          24
          64006064          P          07          24
          64010123          C          07          24
          64008422          C          07          24
          64008414          C          07          24
          64008613          C          07          24
          64005885          C          07          24
          64004054          P          07          24
          67003545          P          07          24
          67003833          P          07          24
          67004392          C          07          24
