NUMERO DE ESCUELA;CATEGORIA;TURNO;NOMBRE ESPECIAL;LOCALIDAD;DEPARTAMENTO;CODIGO UNICO;CUISE
833;2º;M;Miguel y Barbara Mukdise ;Puesto de Retiro;Rio Hondo;8600894;08332
837;2º;M;Ing. Manuel Gallardo;Villa Zanjon Ruta 9;Capital;8601218;08371
841;2º;M;;Punta Pozo;Avellaneda;8600412;08413
845;2º;M-T-;Juan Domingo Roldan;Taco Atun;Taboada;8601038;08452
853;2º;M;;San Francisco;Quebrachos;8600642;08533
854;2º;M;;Los Tolozas;Atamisqui;8601411;08541
857;2º;M;;San Pedro;Avellaneda;8600409;08572
863;1º;M-T-;San Isidro Labrador;Col.El Simbolar;Robles;8600672;08637
867;2º;M;Celestina Juarez de Avila;Vinara;Rio Hondo;8600453;08676
871;1º;M-T-;Virgen de Lourdes ;Quimili ;Moreno;8600359;08711
872;2º;M-T-;Cesar Augusto Santillan ;Santo Domingo;Pellegrini;8600054;08726
878;2º;M-T-;F.A.T.L.y F.;Mansupa;Rio Hondo;8601323;08781
885;2º;M;Cabo 2ºJulio Martin Mendoza;San Lorenzo;Banda;8601493;08854
900;2º;M;;La Tapa;Figueroa;8600823;09006
913;1º;M-T-;Cap.Pedro Edgardo Giachino;Campo Gallo;Alberdi;8601178;09134
915;2º;M;;Las Delicias;Pellegrini;8600115;09157
916;2º;M;;Mili;Robles;8600667;09165
930;2º;M-T-;;Guampacha;Guasayan;8600925;09304
940;2º;M;;Colonia Tinco;Rio Hondo;8601325;09401
948;2º;M;San Juan Bautista;Puesto de Juanes;Loreto;8601609;09486
962;2º;M;Crucero Gral. Belgrano;Colonia Alpìna;Rivadavia;8600158;09625
966;2º;M;Ntra.Sra. Remedios;Morcillo;Robles;8600668;09664
971;1º;M-T-;Teresa Fabrini;Los Telares;Salavina;8600483;09714
972;1º;M-T-;Prof.Juan Octavio Gauna;Forres;Robles;8601441;09722
974;2º;M;Sixto Doroteo Palavecino;Bajo Grande;Banda;8600753;09745
982;1º;M-T-;;Sumampa  ;Quebrachos;8601428;09826
985;2º;M-T-;Orlando Solano Ruiz;El Ojito;Pellegrini;8601185;09857
993;2º;M;Jorge Luis Borges;Santa Isabel;Atamisqui;8600587;09931
1002;2º;M-T-;Pacto de Vinara;Chañar Pozo de Arriba;Rio Hondo;8601535;10025
1006;2º;M-T-;;ahí Veremos;Pellegrini;8600041;10064
1009;1º;M-T-;;Pampa de los Guanacos;Copo;8600656;10095
1010;2º;M;Juana A. Figueroa;Yuchan;Ibarra;8600433;10106
1020;2º;M;Madre de Ciudades;Alhuampa;Moreno;8600310;10203
1021;2º;M;Jorge Llebeile;Km.454;Taboada;8601043;10211
1022;2º;M;Cap.Frag.Carlos Moyano;Navicha;Avellaneda;8600035;10226
1027;1º;M-T-;Angel Maria Alderete;Los Juríes;Taboada;8601672;10273
1032;1º;M-T-;Hipolito Yrigoyen;Frias;Choya;8601052;10323
1036;2º;M;Gbdor.Adolfo Ruiz;El Aibe;Banda;8601492;10362
1039;2º;M;;Caspi Corral;Figueroa;8600814;10393
1040;1º;M-T-;Jose Miralles Lopez;Bandera Bajada;Figueroa;8601522;10404
1041;2º;M;Jorge Newbery;San Vicente;Loreto;8601615;10412
1054;2º;M;Fragata Libertad;Tramo 16;Banda;8600929;10547
1057;2º;M;1º de Marzo;Granadero Gatica;Moreno;8601251;10571
1060;2º;M;;Yolo Huasi;Loreto;8601607;10605
1062;1º;M-T-;Eusebio Correa ;Arraga;Silipica;8601388;10621
1066;2º;M;Carmen Navarro de Pajon ;San Juan;Loreto;8601611;10667
1067;2º;M- ;Enriqueta Paz;Otumpa;Moreno;8601253;10675
1068;1º;M-T-;Rompehielos  Almirante Irizar;Añatuya ;Taboada;8601694;10683
1071;2º;M;Pedro Bravo ;Santo Domingo;Robles;8601465;10717
1073;2º;M;;Ancajan;Choya;8601307;10733
1076;2º;M;;La Falda;Banda;8601546;10764
1079;2º;M;;Frias ;Choya;8601055;10795
1085;1º;M-T-;Buenaventura Gomez de Escobar;Pozo Hondo (con anexo);Jimenez;8600698;10853
1086;1º;M-T-;Juan Fco. Borges;Avellaneda 288;Banda;8601106;10861
1091;2º;M;Libertad;Isca Yacu;Jimenez;8600695;10911
1098;2º;M;Policia Federal Argentina;Lugones;Avellaneda;8601321;10981
1099;1º;M-T-;Pedro Leon Gallo;Loreto;Loreto;8601598;10996
1112;2º;M;Alfredo Fortabat;Frias;Choya;8600378;11125
1116;2º;M;;San Jose;Banda;8600931;11164
1121;1º;M-T-;San Jose de calazans;Puestito de San Antonio;Capital;8601662;11214
1123;2º;M;San Ignacio de Loyola ;Manga Bajada;Copo;8600557;11237
1124;2º;M;Antonio Darwich Hasam;Suncho Pozo del Triunfo;Taboada;8601182;11245
1128;1º;M-T-;Fuierza Aerea Argentina;27 de Julio y Sgo Maradona Bº Autonomía;Capital;8601341;11284
1132;1º;M-T-;Ejercito Argentino;Avda. Prof. Dgo Bravo y Colon Bº Ej.Arg.;Capital;8601401;11326
1140;1º;M-T-;Gendarmeria Nacional;Machacay S/N Misky Mayu;Banda;8601262;11407
1161;2º;M;;El Simbolar Sector C;Robles;8601447;11616
1162;1º;M-T-;;Pampa de los Guanacos;Copo;8600657;11624
1165;2º;M;;Tusca Pozo;Jimenez;8600713;11655
1166;2º;M;;Cañada del Monte;Rio Hondo;8600890;11663
1167;2º;M;;La Nueva Donosa;Rio Hondo;8600421;11671
1170;2º;M;;Los Soria;Banda;8600862;11705
1172;1º;M-T-;Juan Felipe Ibarra;calle 1 Nº352 Ampl.Parque Industrial;Banda;8601264;11721
1173;1º;M-T-;Carlos Jensen;Balcarce 690  Bº 8 de Abril telef-4224898;Capital;8601580;11736
1187;2º;M-T-;;Monte Quemado;Copo;8601637;11872
1190;2º;M-T-;Manuel Romero Montiel ;El Corralito ;Pellegrini;8600172;11906
1191;2º;M;;El Sauce ;Pellegrini;8600177;11914
1213;2º;M;;bº El Tala;Ojo de Agua;8600783;12136
1214;2º;M-T-;Santa Dorotea;Quimili;Moreno;8600347;12144
1216;1º;M-T-;San Francisco Solano;Ampliación 1º de Mayo;Banda;8600322;12167
1218;2º;M;Padre Victor Conde Lopez;Quimili;Moreno;8600358;12183
1220;2º;M-T-;Paul Harris;Fernandez;Robles;8600203;12202
1223;2º;M;;Campo Gallo ;Alberdi;8600162;12233
1225;2º;M-T-;;Monte Quemado;Copo;8600963;12256
1237;2º;M-T- ;;Avenida Velez Sarfields S/N B º La Catolica ;Capital;8601220;12376
1238;1º;M;Escuela de la Patria;Loreto;Loreto ;8601905;12384
1.239;1º;M-T-;Dr.Raúl Ricardo Alfonsín;Victor Yunes ;Capital;8602029;13035
1240;1º;M-T-;Bicentenario de la Revolucion de Mayo;Sara Rigourd Angela Reto Mario Castillo  Sara Raed ;Capital;8602141;12191
1.241;1º;M-T- ;Benjamin Santillan ;Bº Ampliación C.O.E.S.A.;Capital;8602158;23006
1.242;1º;M-T-;Sara Diaz de Raed ;Calle Nº 555 Bº Aeropuerto;Capital;;23014
1.243;1º;M-T-;Virgen del Carmen ;Bº Villa del Carmen ;Capital;8602190;23022
1.244;1º;M-T-;;Bº E l Rincon;Banda ;8602221;12442
1.245;1º;M-T-;;Termas ;Rio Hondo ;8602261;12457
1.247;1º;M-T-;;Forres;Robles;8602272;12473
1.248;1ª;M-T;NO POSEE;Sumampa  ;Quebrachos;8602275;12481
1.249;1ª;M-T;;Barrio Belen ;Capital;8602278;12496
CE1;1º;T;Del Centenario;Avda Rivadavia Nº 701;Capital;8601362;50034
CE2;1º;M-T-;Florentino Ameghino;Añatuya;Taboada;8600419;50107
CE3;1º;M;Pedro Fco. De Uriarte;Loreto;Loreto;8601594;50073
CE4;1º;M-T-;Maximio S. Victoria;Fernandez;Robles;8601201;50065
CE5;1º;M-T-;Trejo y Sanabria;Suncho Corral;Ibarra;8601196;50096
CE6;1º;M;Sesquicentenario;Las Termas;Rio Hondo;8601504;50081
CE7;1º;M-T-;Nicolas Avellaneda;Belgrano y Santa Cruz telef.4225911;Capital;8601326;50042
CE8;1º;M-T-;Antonino Taboada;Republica y Mailin 302 Clodomira;Banda;8601372;50057
