06/09/2023     LISTADO TESTIGO PERSONAL SIN PRESENTISMO      P g.


          Nro Control    Planta        Mes        Anio
          98004813          P          09          23
          99152001          P          09          23
          99150591          C          09          23
          99157412          C          09          23
          99157483          C          09          23
          99157551          C          09          23
          99157695          C          09          23
          99096535          P          09          23






         TOTAL DE REGISTROS:       888


          Planta Contratada:       278


          Planta Permanente:       610


